Name,Category,Day,NrOfSegments(Russ),NrOfBranchingPoints(Russ),NrOfLoops,NrOfLoopsNormalised,NrOfLoops/Segment,NrOfLoops/SegmentNormalised,NrOfLoopsI1,NrOfLoopsI2,NrOfLoopsI3,NrOfLoopsI4,NrOfLoopsI5,NrOfLoopsI1Normalised,NrOfLoopsI2Normalised,NrOfLoopsI3Normalised,NrOfLoopsI4Normalised,NrOfLoopsI5Normalised,NrOfLoopsI1/Segment,NrOfLoopsI2/Segment,NrOfLoopsI3/Segment,NrOfLoopsI4/Segment,NrOfLoopsI5/Segment,NrOfLoopsI1Normalised/Segment,NrOfLoopsI2Normalised/Segment,NrOfLoopsI3Normalised/Segment,NrOfLoopsI4Normalised/Segment,NrOfLoopsI5Normalised/Segment,NrOfShortBars,NrOfShortBars/Segment,NrOfShortBarsNormalised,NrOfShortBars/SegmentNormalised,MedianPersistenceDim2,MedianPersistenceDim2Normalised,Radius1000,Radius,RadiusNormalised,CountNormalised,AvgDiameterNormalised,MaxDiameterNormalised,AvgLengthNormalised,MaxLengthNormalised,AvgClrNormalised,AvgSOAMNormalised,LengthDiamRatioNormalised,NrOfSegments(Russ)Normalised,NrOfBranchingPoints(Russ)Normalised
54_2D,DC101,1,6186,5680,603,1.534351145,0.097478177,1.163785255,75,190,202,113,23,1.209677419,1.328671329,1.905660377,1.712121212,1.4375,0.1652,0.0922,0.0738,0.0351,0.0077,1.588461538,1.315263909,1.452755906,1.37109375,1.013157895,3922,0.634,1.47944172,1.1221,0.99,1.28072445,2.7375,2737.5,0.904330878,1.318414322,1.080692367,1.600970101,1.033720526,0.839752133,0.978143716,1.019003159,0.956535419,1.318414322,1.274685817
54_2D,DC101,2,6564,6202,595,1.513994911,0.090645948,1.082215743,105,219,176,90,5,1.693548387,1.531468531,1.660377358,1.363636364,0.3125,0.1402,0.0887,0.0563,0.0272,0.0015,1.348076923,1.265335235,1.108267717,1.0625,0.197368421,3201,0.4877,1.20746888,0.8631,0.7,0.905562743,3.498,3498,1.155561428,1.398976982,0.930271597,1.150086887,1.091407817,0.99459392,1.024793879,0.959929421,1.173214167,1.398976982,1.391831239
54_2D,DC101,3,4253,4166,352,0.8956743,0.082765107,0.988126924,43,108,117,63,21,0.693548387,0.755244755,1.103773585,0.954545455,1.3125,0.0909,0.0692,0.0593,0.0283,0.0104,0.874038462,0.987161198,1.167322835,1.10546875,1.368421053,1845,0.4338,0.695963787,0.7678,0.65,0.84087969,3.6659,3665.9,1.211027056,0.906436488,0.94272934,1.203425196,1.178473431,2.28209339,1.062729467,0.901358312,1.250065508,0.906436488,0.93491921
54_2D,DC101,4,3025,2864,274,0.697201018,0.090578512,1.081410629,42,77,101,51,3,0.677419355,0.538461538,0.952830189,0.772727273,0.1875,0.1203,0.0807,0.0606,0.0388,0.0018,1.156730769,1.151212553,1.192913386,1.515625,0.236842105,1437,0.475,0.5420596,0.8408,0.74,0.957309185,3.6836,3683.6,1.216874236,0.644714408,1.164890709,1.473284323,1.217363664,1.208413752,1.030489855,0.930126248,1.045045389,0.644714408,0.642728905
18_4F,Dll4,0,779,991,29,1,0.037227214,1,1,6,15,5,2,1,1,1,1,1,1,0.0625,0.0418,0.0154,0.0044,1,1,1,1,1,540,0.6932,1,1,0.78,1,2.5963,2596.3,1,1,1,1,1,1,1,1,1,1,1
18_4F,Dll4,1,276,458,4,0.137931034,0.014492754,0.389305361,0,0,3,0,1,0,0,0.2,0,0.5,0,0,0.0309,0,0.0086,0,0,0.73923445,0,1.954545455,181,0.6558,0.335185185,0.946,0.95,1.217948718,2.224,2224,0.856603628,0.354300385,0.894510593,0.404808282,1.049816022,1.490880704,0.984664496,1.00579965,1.173620558,0.354300385,0.462159435
18_4F,Dll4,2,2120,2192,105,3.620689655,0.049528302,1.330432678,27,50,17,10,1,27,8.333333333,1.133333333,2,0.5,0.0931,0.0561,0.0216,0.0079,0.0012,0.0931,0.8976,0.516746411,0.512987013,0.272727273,1341,0.6325,2.483333333,0.9125,0.8,1.025641026,3.1129,3112.9,1.198975465,2.721437741,1.243714432,1.276316248,1.002829608,1.035999577,1.033101611,0.936456681,0.80631822,2.721437741,2.211907164
18_4F,Dll4,3,4697,4581,356,12.27586207,0.075793059,2.035958399,53,84,118,77,24,53,14,7.866666667,15.4,12,0.073,0.0439,0.0476,0.0348,0.0097,0.073,0.7024,1.138755981,2.25974026,2.204545455,2315,0.4929,4.287037037,0.711,0.86,1.102564103,4.4353,4435.3,1.70831568,6.029525032,1.334331935,1.470180232,1.01091578,1.539250914,1.015959258,0.957899556,0.757619415,6.029525032,4.622603431
18_4F,Dll4,4,3653,3712,220,7.586206897,0.060224473,1.617753964,31,45,87,41,16,31,7.5,5.8,8.2,8,0.0683,0.0496,0.051,0.0228,0.0086,0.0683,0.7936,1.220095694,1.480519481,1.954545455,1670,0.4572,3.092592593,0.6595,0.58,0.743589744,3.8423,3842.3,1.479913723,4.689345315,1.190006106,1.360078842,0.951721566,1.535728737,1.026904965,1.006041607,0.799761918,4.689345315,3.745711403
24_2A,Dll4,0,1126,1304,38,1,0.03374778,1,6,13,11,7,1,1,1,1,1,1,6,0.0423,0.0206,0.0132,0.0017,1,1,1,1,1,779,0.6918,1,1,0.99,1,2.8899,2889.9,1,1,1,1,1,1,1,1,1,1,1
